iter	Passed	Remaining
0	3	3000
1	5	2825
2	8	2668
3	10	2651
4	13	2592
5	15	2578
6	18	2581
7	20	2567
8	23	2578
9	25	2542
10	29	2612
11	31	2601
12	34	2583
13	36	2600
14	39	2592
15	42	2599
16	45	2604
17	48	2632
18	50	2613
19	53	2604
20	56	2617
21	58	2607
22	61	2621
23	64	2616
24	67	2617
25	69	2610
26	72	2601
27	75	2620
28	78	2612
29	80	2615
30	83	2609
31	86	2616
32	89	2610
33	91	2611
34	94	2618
35	97	2612
36	100	2611
37	102	2606
38	105	2603
39	108	2597
40	110	2591
41	113	2593
42	116	2587
43	119	2591
44	122	2591
45	125	2598
46	128	2596
47	130	2598
48	134	2603
49	136	2601
50	139	2603
51	142	2595
52	145	2598
53	148	2592
54	150	2592
55	153	2591
56	156	2584
57	159	2591
58	162	2587
59	165	2589
60	167	2585
61	171	2588
62	173	2584
63	176	2581
64	179	2575
65	181	2569
66	184	2573
67	187	2567
68	190	2568
69	193	2566
70	196	2564
71	198	2561
72	201	2556
73	204	2553
74	206	2547
75	209	2546
76	212	2542
77	214	2538
78	218	2542
79	220	2541
80	223	2540
81	226	2536
82	229	2536
83	232	2535
84	235	2538
85	238	2535
86	241	2535
87	244	2533
88	247	2535
89	250	2533
90	253	2532
91	256	2529
92	259	2527
93	262	2527
94	265	2524
95	267	2522
96	270	2519
97	273	2515
98	276	2512
99	278	2509
100	281	2508
101	284	2504
102	287	2502
103	290	2500
104	293	2499
105	295	2495
106	298	2491
107	301	2490
108	304	2485
109	307	2486
110	310	2484
111	313	2484
112	316	2482
113	319	2480
114	321	2477
115	324	2473
116	327	2471
117	330	2467
118	332	2465
119	335	2462
120	338	2459
121	341	2458
122	344	2455
123	347	2453
124	349	2449
125	353	2449
126	355	2445
127	358	2444
128	361	2440
129	364	2439
130	367	2435
131	369	2430
132	372	2428
133	375	2424
134	378	2424
135	381	2424
136	385	2425
137	387	2421
138	390	2419
139	393	2416
140	396	2413
141	399	2411
142	402	2411
143	405	2412
144	408	2409
145	411	2408
146	414	2403
147	417	2401
148	420	2399
149	423	2397
150	425	2394
151	428	2393
152	431	2391
153	434	2388
154	437	2386
155	440	2383
156	443	2382
157	446	2377
158	449	2376
159	452	2374
160	455	2372
161	457	2368
162	460	2366
163	463	2364
164	466	2362
165	469	2359
166	472	2355
167	475	2354
168	478	2350
169	481	2349
170	483	2345
171	486	2344
172	489	2341
173	492	2338
174	495	2337
175	498	2333
176	501	2332
177	504	2328
178	507	2327
179	509	2323
180	520	2356
181	523	2352
182	526	2350
183	529	2347
184	532	2344
185	535	2342
186	537	2338
187	540	2336
188	543	2331
189	546	2329
190	549	2325
191	551	2321
192	554	2318
193	557	2315
194	560	2313
195	563	2310
196	566	2307
197	568	2303
198	571	2299
199	573	2295
200	576	2291
201	579	2289
202	582	2287
203	585	2285
204	588	2281
205	591	2278
206	594	2275
207	596	2272
208	599	2268
209	602	2268
210	605	2264
211	608	2260
212	611	2257
213	613	2254
214	616	2252
215	619	2250
216	623	2249
217	626	2246
218	629	2243
219	631	2240
220	634	2236
221	637	2234
222	640	2231
223	643	2228
224	646	2225
225	649	2223
226	651	2219
227	654	2217
228	657	2214
229	660	2211
230	663	2209
231	666	2205
232	669	2202
233	671	2199
234	674	2197
235	677	2194
236	681	2193
237	684	2190
238	686	2186
239	689	2184
240	692	2180
241	695	2178
242	698	2176
243	701	2173
244	704	2170
245	707	2167
246	709	2164
247	713	2162
248	716	2159
249	719	2157
250	721	2153
251	724	2150
252	727	2149
253	730	2146
254	733	2143
255	736	2140
256	739	2138
257	742	2134
258	745	2132
259	748	2129
260	751	2127
261	755	2126
262	757	2123
263	760	2120
264	763	2116
265	766	2115
266	769	2111
267	772	2109
268	775	2106
269	778	2104
270	781	2102
271	784	2100
272	787	2096
273	790	2094
274	793	2090
275	795	2086
276	798	2084
277	801	2080
278	804	2078
279	807	2075
280	810	2072
281	812	2069
282	815	2067
283	818	2064
284	821	2061
285	824	2058
286	827	2054
287	830	2052
288	833	2049
289	836	2047
290	839	2044
291	841	2040
292	844	2037
